"","plot","latitude","longitude","slope","aspect","date","sample_year","type","a_grass_cover","p_grass_cover","forb_cover","forb_gm2","a_grass_gm2","p_grass_gm2"
"16","bm_06_g",41.27274,-117.68672,1,70,"07/12/2017","2017","grass",11.8,0.2,1.8,18.56,69.36,0.16
"17","bm_06_g",41.27274,-117.68672,1,70,"07/12/2017","2018","grass",9.2,0,4.6,32.26,63.18,0
"18","bm_06_g",41.27274,-117.68672,1,70,"07/12/2017","2019","grass",5.6,0,3,28.6,26.74,0
"19","bm_07_s",41.3116,-117.68929,4,208,"07/12/2017","2017","shrub",1,0.6,3.2,12.48,2.22,1.04
"20","bm_07_s",41.3116,-117.68929,4,208,"07/12/2017","2018","shrub",3.2,4.8,1.2,2.56,10.74,17.12
"21","bm_07_s",41.3116,-117.68929,4,208,"07/12/2017","2019","shrub",0.7,2.8,1,2.64,0.34,4.66
"22","bm_08_s",41.34872,-117.72833,4,231,"07/12/2017","2017","shrub",1.6,4.4,0.5,1.78,16.28,13.56
"23","bm_08_s",41.34872,-117.72833,4,231,"07/12/2017","2018","shrub",2.6,4.2,4,8.26,17.98,19.72
"24","bm_08_s",41.34872,-117.72833,4,231,"07/12/2017","2019","shrub",1.2,7,1.4,6.02,3.68,20.8
"25","bm_09_g",41.40956,-117.7868,5,248,"07/12/2017","2017","grass",16.8,0.1,9.9,63.72,147.36,0.18
"26","bm_09_g",41.40956,-117.7868,5,248,"07/12/2017","2018","grass",17.6,0.1,8,27.14,106.22,0.46
"27","bm_09_g",41.40956,-117.7868,5,248,"07/12/2017","2019","grass",14,0,16.7,46.86,52.68,0
"28","bm_10_s",41.36963,-117.75826,4,226,"07/13/2017","2017","shrub",0.5,7.6,4.1,19.28,1.3,11.62
"29","bm_10_s",41.36963,-117.75826,4,226,"07/13/2017","2018","shrub",0.7,8.2,0.2,0.36,0.82,18.16
"30","bm_10_s",41.36963,-117.75826,4,226,"07/13/2017","2019","shrub",1.6,6.6,1.7,5.56,7.8,15.22
"31","bm_11_g",41.61427,-117.76736,4,252,"07/13/2017","2017","grass",13.1,1.8,2.508,2.36,89.22,3.08
"32","bm_11_g",41.61427,-117.76736,4,252,"07/13/2017","2018","grass",10,3.2,0,6.22,35.88,0
"33","bm_11_g",41.61427,-117.76736,4,252,"07/13/2017","2019","grass",6.9,0.1,1.2,16.56,23.16,0.32
"34","bm_12_s",41.60935,-117.7543,5,202,"07/13/2017","2017","shrub",5.2,4.2,3.3,15.46,21.1,8.08
"35","bm_12_s",41.60935,-117.7543,5,202,"07/13/2017","2018","shrub",6.6,3.1,0.7,1.36,19.52,1.38
"36","bm_12_s",41.60935,-117.7543,5,202,"07/13/2017","2019","shrub",5.8,2.2,1.1,3.28,10.06,3.8
"37","bm_13_g",41.68896,-117.7774,1,312,"07/13/2017","2017","grass",6.2,4.2,6.3,12.92,37.78,7.38
"38","bm_13_g",41.68896,-117.7774,1,312,"07/13/2017","2018","grass",11.6,0.8,2.1,1.58,36.54,1.5
"39","bm_13_g",41.68896,-117.7774,1,312,"07/13/2017","2019","grass",11.2,1.8,2.3,3.64,39.58,4.04
"40","bm_14_s",41.71459,-117.76859,1,23,"07/13/2017","2017","shrub",1,10.4,4.1,8.4,13.16,34.32
"41","bm_14_s",41.71459,-117.76859,1,23,"07/13/2017","2018","shrub",2,9.8,0.2,0.28,3.78,22.82
"42","bm_14_s",41.71459,-117.76859,1,23,"07/13/2017","2019","shrub",1.4,6.4,2,4.56,1.22,20.04
"43","bm_15_s",41.62133,-118.24458,1,100,"07/14/2017","2017","shrub",0,0,0,0.98,62.28,0
"44","bm_15_s",41.62133,-118.24458,1,100,"07/14/2017","2018","shrub",7,0,0.4,0.06,61.94,0
"45","bm_15_s",41.62133,-118.24458,1,100,"07/14/2017","2019","shrub",8.4,0,0.4,1.92,22.98,0
"46","bm_16_g",41.63688,-118.244,1,88,"07/14/2017","2017","grass",15,0,9.4,107.26,118.36,0
"47","bm_16_g",41.63688,-118.244,1,88,"07/14/2017","2018","grass",13.8,0,6,17.52,91.98,0
"48","bm_16_g",41.63688,-118.244,1,88,"07/14/2017","2019","grass",2.3,0,14.7,155.02,6.84,0
"49","bm_17_g",41.69444,-117.96001,2,313,"07/14/2017","2017","grass",5,6.4,5.4,27.34,48.42,34.84
"50","bm_17_g",41.69444,-117.96001,2,313,"07/14/2017","2018","grass",21.8,0.4,1.9,11.76,90.34,0.02
"51","bm_18_s",41.54023,-117.76968,4,313,"07/14/2017","2017","shrub",10.2,4.1,3.1,2.76,58.9,10.5
"52","bm_18_s",41.54023,-117.76968,4,313,"07/14/2017","2018","shrub",15.3,1.6,0.6,0.76,63.32,6.16
"53","bm_18_s",41.54023,-117.76968,4,313,"07/14/2017","2019","shrub",6.1,1.2,0.9,1.52,8.88,3.46
"54","bm_19_s",41.04498,-117.7167,4,330,"07/14/2017","2017","shrub",9.6,2.2,2.6,4.28,36.68,20.1
"55","bm_19_s",41.04498,-117.7167,4,330,"07/14/2017","2018","shrub",9.8,4.6,0.8,0.84,113.46,29.62
"56","bm_19_s",41.04498,-117.7167,4,330,"07/14/2017","2019","shrub",8,4.2,0.1,0.18,36.08,22.92
"57","bm_20_s",40.9824,-117.57502,4,46,"07/14/2017","2017","shrub",9.5,7,1.6,1.34,63.12,14.96
"58","bm_20_s",40.9824,-117.57502,4,46,"07/14/2017","2018","shrub",22.9,3.4,0.5,0.36,121.18,8.02
"59","bm_20_s",40.9824,-117.57502,4,46,"07/14/2017","2019","shrub",13.6,1.6,0.4,2.9,37.66,1.74
"60","bm_21_g",41.02617,-117.60491,1,43,"07/15/2017","2017","grass",21.8,0,2.1,16.76,127.6,0
"61","bm_21_g",41.02617,-117.60491,1,43,"07/15/2017","2018","grass",16,0,3.3,18.28,71.38,0
"62","bm_21_g",41.02617,-117.60491,1,43,"07/15/2017","2019","grass",17.4,0,4.4,40.86,39.8,0
"63","bm_22_g",41.01912,-117.73097,3,62,"07/15/2017","2017","grass",21.4,0.2,2.4,2.6,158.88,0.24
"64","bm_22_g",41.01912,-117.73097,3,62,"07/15/2017","2018","grass",14.4,0,4.4,5.66,108.94,0
"65","bm_22_g",41.01912,-117.73097,3,62,"07/15/2017","2019","grass",15.8,0,0,52.1,66.14,0
"66","bm_23_s",41.14278,-117.85424,1,253,"07/15/2017","2017","shrub",6.2,0,0,0,25.62,0
"67","bm_23_s",41.14278,-117.85424,1,253,"07/15/2017","2018","shrub",3.2,0,0.8,5.2,44.14,0
"68","bm_23_s",41.14278,-117.85424,1,253,"07/15/2017","2019","shrub",0,0,0,99.14,32.02,0
"69","bm_24_g",41.16172,-117.86927,1,238,"07/15/2017","2017","grass",13,0,2,11.42,67.76,0
"70","bm_24_g",41.16172,-117.86927,1,238,"07/15/2017","2018","grass",7,0,5.8,47.04,50.96,0
"71","bm_24_g",41.16172,-117.86927,1,238,"07/15/2017","2019","grass",5.8,0,11.9,140.68,26.78,0
"72","bm_25_s",40.9676,-117.68658,1,298,"07/15/2017","2017","shrub",4.1,5.6,5.5,19.68,7.48,11.88
"73","bm_25_s",40.9676,-117.68658,1,298,"07/15/2017","2018","shrub",2.5,6.4,1.3,4.34,5.88,11.7
"74","bm_25_s",40.9676,-117.68658,1,298,"07/15/2017","2019","shrub",0.5,3.4,0.6,2.52,0.32,23.32
"75","bm_26_g",40.7179,-117.70259,1,246,"07/16/2017","2017","grass",15.6,0,5.2,16.16,97.2,0
"76","bm_26_g",40.7179,-117.70259,1,246,"07/16/2017","2018","grass",23,0,0.4,2.9,103.36,0
"77","bm_26_g",40.7179,-117.70259,1,246,"07/16/2017","2019","grass",10.2,0,5.1,41.9,24.06,0
"78","bm_27_s",40.65774,-117.64825,3,222,"07/16/2017","2017","shrub",17.4,0,0,0,147.94,0
"79","bm_27_s",40.65774,-117.64825,3,222,"07/16/2017","2018","shrub",11.8,0,0,0,79.38,0
"80","bm_28_g",40.87222,-117.87117,1,44,"07/16/2017","2017","grass",19.2,0,8.6,41.76,123.98,0
"81","bm_28_g",40.87222,-117.87117,1,44,"07/16/2017","2018","grass",11.6,0,10.1,0,62.26,0
"82","bm_29_s",40.86378,-117.73678,4,261,"07/16/2017","2017","shrub",17.4,1.2,0.1,0.36,87.9,1.48
"83","bm_29_s",40.86378,-117.73678,4,261,"07/16/2017","2018","shrub",7.2,2.4,0,0,45.4,3.2
"84","bm_29_s",40.86378,-117.73678,4,261,"07/16/2017","2019","shrub",4,3.1,0.2,0.16,9.8,4.2
"85","bm_30_g",40.86491,-117.72707,5,310,"07/16/2017","2017","grass",24,1.5,0.1,1,161.44,4.88
"86","bm_30_g",40.86491,-117.72707,5,310,"07/16/2017","2018","grass",16.4,2.8,2.6,49.06,183.86,11.14
"87","bm_31_g",40.97877,-117.75452,4,165,"07/16/2017","2017","grass",27,1,1,0.92,115.98,3.24
"88","bm_31_g",40.97877,-117.75452,4,165,"07/16/2017","2018","grass",8,0,1.2,24.88,43.16,0.22
"89","bm_31_g",40.97877,-117.75452,4,165,"07/16/2017","2019","grass",9.4,0.4,6.6,55.1,25.44,0.7
"90","bm_32_g",41.02912,-117.47858,1,266,"07/17/2017","2017","grass",13,0,4.8,22.8,101.82,0
"91","bm_32_g",41.02912,-117.47858,1,266,"07/17/2017","2018","grass",16,0,4.4,56.4,78.9,0
"92","bm_32_g",41.02912,-117.47858,1,266,"07/17/2017","2019","grass",5.8,0,1.8,7.24,27.26,0
"93","bm_33_g",41.07722,-117.46854,1,284,"07/17/2017","2017","grass",16.6,0,4.4,40.04,152.66,0
"94","bm_33_g",41.07722,-117.46854,1,284,"07/17/2017","2018","grass",18.2,0,3.8,40.92,84.72,0
"95","bm_33_g",41.07722,-117.46854,1,284,"07/17/2017","2019","grass",4.6,0,7.8,73.86,16.16,0
"96","bm_34_s",41.10189,-117.49716,3,202,"07/17/2017","2017","shrub",10.6,0,0.9,6.58,78.4,0
"97","bm_34_s",41.10189,-117.49716,3,202,"07/17/2017","2018","shrub",11.8,0,0.2,1.76,73.7,0
"98","bm_34_s",41.10189,-117.49716,3,202,"07/17/2017","2019","shrub",3.2,0,3.1,10.56,6.5,0
"99","bm_35_s",41.10234,-117.42302,3,294,"07/17/2017","2017","shrub",2,9,0.2,0.02,2.08,27.14
"100","bm_35_s",41.10234,-117.42302,3,294,"07/17/2017","2018","shrub",0.5,9.1,0.1,0,1.3,26.2
"101","bm_35_s",41.10234,-117.42302,3,294,"07/17/2017","2019","shrub",1.3,9.4,0.4,0.46,1.24,10
"102","bm_36_s",41.19389,-117.39859,3,145,"07/17/2017","2017","shrub",0.9,5.4,2.9,4.82,2.6,19.16
"103","bm_36_s",41.19389,-117.39859,3,145,"07/17/2017","2018","shrub",0.3,7,0.8,0.54,0.46,26.56
"104","bm_36_s",41.19389,-117.39859,3,145,"07/17/2017","2019","shrub",0.4,8,1.5,0.58,0.22,12.38
"105","bm_37_g",40.81308,-117.7272,2,245,"07/17/2017","2017","grass",22.6,0,7,73.14,150.48,0
"106","bm_37_g",40.81308,-117.7272,2,245,"07/17/2017","2018","grass",17,0,1.2,12.6,134.12,0
"107","bm_37_g",40.81308,-117.7272,2,245,"07/17/2017","2019","grass",20.4,0,0.4,3.78,90.26,0
"108","bm_38_s",40.77374,-117.6989,3,246,"07/17/2017","2017","shrub",1.8,12.9,0.5,0.24,6.08,104.58
"109","bm_38_s",40.77374,-117.6989,3,246,"07/17/2017","2018","shrub",1.6,7.6,0,0,2.6,42
"110","bm_39_g",40.96922,-117.7236,4,182,"07/18/2017","2017","grass",31,0,0.1,0.92,146.42,0
"111","bm_39_g",40.96922,-117.7236,4,182,"07/18/2017","2018","grass",11.2,0,2.6,14.64,61.56,0
"112","bm_39_g",40.96922,-117.7236,4,182,"07/18/2017","2019","grass",12.2,0,3.8,19.44,22.2,0
"113","bm_40_s",40.97277,-117.90706,2,187,"07/18/2017","2017","shrub",17.2,0,6,10.12,115.06,0
"114","bm_40_s",40.97277,-117.90706,2,187,"07/18/2017","2018","shrub",5.2,0,5,29.84,67.9,0
"115","bm_40_s",40.97277,-117.90706,2,187,"07/18/2017","2019","shrub",4,0,0.2,28.18,23.66,0
